epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.137,1.55537,1.8663,1.56823,0.74052,0.58266,0.62491,0.34704,1.55973,1.91375,1.4924,0.000665349,0.000665349,0.000665349
2,483.835,1.62842,1.7883,1.6103,0.6991,0.62964,0.65437,0.27641,1.718,1.91076,1.68139,0.00130564,0.00130564,0.00130564
3,724.598,1.6124,1.67662,1.61082,0.60327,0.63144,0.64406,0.34106,1.63009,1.94544,1.56831,0.00191953,0.00191953,0.00191953
4,968.978,1.62956,1.60774,1.62017,0.64348,0.47967,0.51542,0.23732,1.82601,2.14407,1.78133,0.0018812,0.0018812,0.0018812
5,1212.23,1.57751,1.56475,1.57353,0.77865,0.62331,0.71871,0.37747,1.65457,1.57768,1.5812,0.0018416,0.0018416,0.0018416
6,1528.04,1.55,1.47687,1.54859,0.7793,0.56098,0.65991,0.35113,1.7451,1.77669,1.60909,0.001802,0.001802,0.001802
7,1887.46,1.5071,1.41191,1.51675,0.76387,0.69377,0.76075,0.40174,1.61431,1.39657,1.50543,0.0017624,0.0017624,0.0017624
8,2120.32,1.49514,1.41265,1.5171,0.80518,0.71681,0.80085,0.45969,1.55354,1.29058,1.48134,0.0017228,0.0017228,0.0017228
9,2351.9,1.46349,1.32588,1.48256,0.85891,0.68835,0.76687,0.39967,1.66729,1.39158,1.56117,0.0016832,0.0016832,0.0016832
10,2685.44,1.44394,1.29067,1.47203,0.83693,0.71003,0.79603,0.43539,1.55747,1.35883,1.49203,0.0016436,0.0016436,0.0016436
11,3101.96,1.39049,1.22004,1.43947,0.79176,0.71545,0.7753,0.43052,1.5692,1.28293,1.44538,0.001604,0.001604,0.001604
12,3452.58,1.40858,1.21919,1.44704,0.83403,0.80488,0.85427,0.47241,1.55171,1.13871,1.46596,0.0015644,0.0015644,0.0015644
